exercise_no;name;beschreibung;image_patch;alter;ort;organisationsform;teil;gruppengrösse;schwerpunkt_technik;schwerpunkt_taktik;schwerpunkt_fitness;schwerpunkt_psycho_social;schwerpunkt_sdg;input;output;file_to_pdf
001;Seilbahn;God created pudding, and then he rested. I'm partial to air conditioning. I think he's got a crush on you, Dex! You look…perfect. You all right, Dexter?;/images/ex_001.jpg;3-5;Feld: Halber Platz;Viereck;Haupt: Spielform;11;Passen;Individualtaktik im Angriff: 1 vs. 1;Koordination;Sozial: Solidarität;SDG 11;Datensatz X;Aufwärm: allgemein;/pdf/ex_001.pdf
002;Artikel;I feel like a jigsaw puzzle missing a piece. And I'm not even sure what the picture should be. Hello, Dexter Morgan. You all right, Dexter? You all right, Dexter?;/images/ex_002.jpg;5-10;Feld: Ganzer Platz ;Parcours;Aufwärm: speziell;4-5;Köpfen;Gruppentaktik im Angriff: Angreifen ;Kraft;Persönlich: Anpassungsfähigkeit;SDG 8;Datensatz X;Aufwärm: speziell;/pdf/ex_002.pdf
003;Zoll;"'m thinking two circus clowns dancing. You? I'm a sociopath; there's not much he can do for me. I like seafood. I'm not the monster he wants me to be. So I'm neither man nor beast. I'm something new entirely. With my own set of rules. I'm Dexter. Boo.";/images/ex_003.jpg;3-5;Feld: Ganzer Platz ;Viereck;Aufwärm: allgemein;2-5;Dribbeln;Gruppentaktik in der Verteidigung: Ball erobern;Ausdauer;schwerpunkt_psycho_social;SDG 11;Aufwärm: allgemein;Haupt: Übung;/pdf/ex_003.pdf
004;Leitung;Oh I beg to differ, I think we have a lot to discuss. After all, you are a client. I'm going to tell you something that I've never told anyone before. I like seafood. I'm really more an apartment person.;/images/ex_004.jpg;18-20;Feld: Ganzer Platz ;Dreieck;Aufwärm: allgemein;11;Fintieren;Mannschaftstaktik im Angriff: Torchancen herausspielen;Koordination;Sozial: Konfliktfähigkeit;SDG 5;Aufwärm: speziell;Haupt: Spielform;/pdf/ex_004.pdf
005;Unterricht;I will not kill my sister. I will not kill my sister. I will not kill my sister. I'm doing mental jumping jacks. This man is a knight in shining armor. I'm going to tell you something that I've never told anyone before.;/images/ex_005.jpg;5-10;Feld: Viertel Platz ;Parcours;Aufwärm: speziell;5-11;Fintieren;Mannschaftstaktik in der Verteidigung: Umschalten;Ausdauer;Persönlich: Coping;SDG 16;Schluss: Spielform;Schluss: Spielform;/pdf/ex_005.pdf
006;Betriebshof;Rorschach would say you have a hard time relating to others. Somehow, I doubt that. You have a good heart, Dexter. Hello, Dexter Morgan. I'm generally confused most of the time.;/images/ex_006.jpg;3-5;Halle: Ganzer Platz ;Parcours;Aufwärm: allgemein;4-5;Passen;Gruppentaktik im Angriff: Angreifen ;Kraft;Sozial: Kooperation;SDG 3;Schluss: Spielform;Datensatz X;/pdf/ex_006.pdf
007;Preis;I am not a killer. Only you could make those words cute. I love Halloween. The one time of year when everyone wears a mask … not just me. Oh I beg to differ, I think we have a lot to discuss. After all, you are a client.;/images/ex_007.jpg;18-21;Halle: Ganzer Platz ;Viereck;Aufwärm: allgemein;11;Annahme;Mannschaftstaktik in der Verteidigung: Kompakt verteidigen;Schnelligkeit;Persönlich: Verantwortung;SDG 8;Datensatz X;Aufwärm: allgemein;/pdf/ex_007.pdf
008;Automobilindustrie;I think he's got a crush on you, Dex! I feel like a jigsaw puzzle missing a piece. And I'm not even sure what the picture should be. I think he's got a crush on you, Dex! I'm really more an apartment person.;/images/ex_008.jpg;18-22;Feld: Viertel Platz ;Parcours;Schluss: Spielform;2-5;Fintieren;Gruppentaktik im Angriff: Umschalten;Kraft;Persönlich: Kreativität;SDG 4;Datensatz X;Aufwärm: speziell;/pdf/ex_008.pdf
009;Hose;Only you could make those words cute. I'm Dexter, and I'm not sure what I am. God created pudding, and then he rested. God created pudding, and then he rested. Under normal circumstances, I'd take that as a compliment.;/images/ex_009.jpg;5-10;Feld: Ganzer Platz ;Dreieck;Schluss: Übung;11;Köpfen;Gruppentaktik im Angriff: Umschalten;Ausdauer;Persönlich: Verantwortung;SDG 11;Haupt: Übung;Haupt: Übung;/pdf/ex_009.pdf
010;Professor;"Only you could make those words cute. Rorschach would say you have a hard time relating to others. I'm doing mental jumping jacks. I'm a sociopath; there's not much he can do for me. I'm going to tell you something that I've never told anyone before.";/images/ex_010.jpg;5-10;Feld: Halber Platz;Viereck;Haupt: Spielform;11;Dribbeln;Mannschaftstaktik in der Verteidigung: Kompakt verteidigen;Schnelligkeit;Persönlich: Motivation;SDG 3;Aufwärm: speziell;Haupt: Spielform;/pdf/ex_010.pdf
011;Abend;Tell him time is of the essence. I'm really more an apartment person. I'm really more an apartment person. I'm Dexter, and I'm not sure what I am. I'm real proud of you for coming, bro. I know you hate funerals.;/images/ex_011.jpg;18-20;Halle: Halber Platz;Parcours;Haupt: Übung;4-5;Fintieren;Gruppentaktik im Angriff: Ballzirkulation;Schnelligkeit;Sozial: Respekt / Toleranz;SDG 8;Datensatz X;Schluss: Spielform;/pdf/ex_011.pdf
012;Wikipedia;I have a dark side, too. I'm generally confused most of the time. Tonight's the night. And it's going to happen again and again. It has to happen. I feel like a jigsaw puzzle missing a piece. And I'm not even sure what the picture should be.;/images/ex_012.jpg;18-20;Halle: Ganzer Platz ;Dreieck;Aufwärm: allgemein;5-11;Annahme;Mannschaftstaktik im Angriff: Spiel-/Angriffsaufbau;Ausdauer;Sozial: Kooperation;SDG 8;Schluss: Spielform;Datensatz X;/pdf/ex_012.pdf
013;Küche;I'm not the monster he wants me to be. So I'm neither man nor beast. I'm something new entirely. With my own set of rules. I'm Dexter. Boo. I'm going to tell you something that I've never told anyone before.;/images/ex_013.jpg;3-5;Feld: Viertel Platz ;Dreieck;Haupt: Übung;5-11;Dribbeln;Mannschaftstaktik im Angriff: Spiel-/Angriffsaufbau;Koordination;Persönlich: Motivation;SDG 3;Aufwärm: speziell;Aufwärm: allgemein;/pdf/ex_013.pdf
014;Zorn;I'm real proud of you for coming, bro. I know you hate funerals. I am not a killer. I'm generally confused most of the time. I'm real proud of you for coming, bro. I know you hate funerals. You're a killer. I catch killers.;/images/ex_014.jpg;3-5;Halle: Halber Platz;Dreieck;Aufwärm: speziell;2-5;Schießen;Gruppentaktik in der Verteidigung: Umschalten;Schnelligkeit;Sozial: Konfliktfähigkeit;SDG 16;Haupt: Übung;Aufwärm: speziell;/pdf/ex_014.pdf
015;Sauerstoff;"Hello, Dexter Morgan. I like seafood. I'm not the monster he wants me to be. So I'm neither man nor beast. I'm something new entirely. With my own set of rules. I'm Dexter. Boo. I'm a sociopath; there's not much he can do for me.";/images/ex_015.jpg;3-6;Feld: Viertel Platz ;Dreieck;Haupt: Spielform;4-5;Annahme;Mannschaftstaktik in der Verteidigung: Pressing;Koordination;Persönlich: Selbstbewusstsein;SDG 8;Aufwärm: allgemein;Haupt: Übung;/pdf/ex_015.pdf
016;Nutzen;I love Halloween. The one time of year when everyone wears a mask … not just me. Pretend. You pretend the feelings are there, for the world, for the people around you. Who knows? Maybe one day they will be.;/images/ex_016.jpg;18-20;Halle: Halber Platz;Parcours;Schluss: Spielform;5-11;Köpfen;Mannschaftstaktik im Angriff: Umschalten;Koordination;Sozial: Solidarität;SDG 11;Schluss: Spielform;Haupt: Spielform;/pdf/ex_016.pdf
017;Unterschied;Watching ice melt. This is fun. He taught me a code. To survive. I'm thinking two circus clowns dancing. You? Cops, another community I'm not part of. Under normal circumstances, I'd take that as a compliment.;/images/ex_017.jpg;18-20;Feld: Ganzer Platz ;Parcours;Aufwärm: speziell;6-8;Passen;Individualtaktik im Angriff: 1 vs. 1;Ausdauer;Sozial: Kommunikation;SDG 4;Haupt: Spielform;Schluss: Spielform;/pdf/ex_017.pdf
018;Ort;I'm going to tell you something that I've never told anyone before. You look…perfect. I like seafood. Tonight's the night. And it's going to happen again and again. It has to happen. I've lived in darkness a long time. Over the years my eyes adjusted until the dark became my world and I could see.;/images/ex_018.jpg;5-10;Halle: Ganzer Platz ;Dreieck;Schluss: Spielform;2-5;Annahme;Individualtaktik in der Verteidigung: 1 vs. 1;Ausdauer;Sozial: Kooperation;SDG 3;Aufwärm: speziell;Datensatz X;/pdf/ex_018.pdf
019;Märchen;"It's art! A statement on modern society, 'Oh Ain't Modern Society Awful?'! I'm nobody's taxi service; I'm not gonna be there to catch you every time you feel like jumping out of a spaceship. Did I mention we have comfy chairs?";/images/ex_019.jpg;3-5;Feld: Halber Platz;Viereck;Schluss: Übung;6-8;Annahme;Gruppentaktik in der Verteidigung: Umschalten;Kraft;Sozial: Kommunikation;SDG 4;Haupt: Spielform;Aufwärm: allgemein;/pdf/ex_019.pdf
020;Kobold;"Tonight's the night. And it's going to happen again and again. It has to happen. I'm a sociopath; there's not much he can do for me. Only you could make those words cute. I'm not the monster he wants me to be. So I'm neither man nor beast. I'm something new entirely. With my own set of rules. I'm Dexter. Boo.";/images/ex_020.jpg;3-5;Halle: Halber Platz;Parcours;Haupt: Übung;6-8;Dribbeln;Mannschaftstaktik in der Verteidigung: Umschalten;Kraft;Sozial: Empathie;SDG 16;Haupt: Übung;Aufwärm: speziell;/pdf/ex_020.pdf
021;Filzstift;"Stop talking, brain thinking. Hush. Stop talking, brain thinking. Hush. Heh-haa! Super squeaky bum time! The way I see it, every life is a pile of good things and bad things.…hey.…the good things don't always soften the bad things; but vice-versa the bad things don't necessarily spoil the good things and make them unimportant.";/images/ex_021.jpg;5-10;Feld: Halber Platz;Parcours;Schluss: Spielform;4-5;Dribbeln;Gruppentaktik in der Verteidigung: Tore verhindern;Kraft;Sozial: Respekt / Toleranz;SDG 16;Aufwärm: speziell;Haupt: Übung;/pdf/ex_021.pdf
022;Birke;It's art! A statement on modern society, 'Oh Ain't Modern Society Awful?'! Aw, you're all Mr. Grumpy Face today. I hate yogurt. It's just stuff with bits in. It's a fez. I wear a fez now. Fezes are cool.;/images/ex_022.jpg;18-20;Halle: Ganzer Platz ;Dreieck;Haupt: Übung;6-8;Köpfen;Mannschaftstaktik im Angriff: Umschalten;Schnelligkeit;Sozial: Empathie;SDG 5;Schluss: Spielform;Haupt: Spielform;/pdf/ex_022.pdf
023;Personal;They're not aliens, they're Earth…liens! Stop talking, brain thinking. Hush. You know how I sometimes have really brilliant ideas? You've swallowed a planet! You hit me with a cricket bat. I am the Doctor, and you are the Daleks!;/images/ex_023.jpg;18-20;Halle: Ganzer Platz ;Viereck;Haupt: Spielform;5-11;Schießen;Mannschaftstaktik in der Verteidigung: Pressing;Ausdauer;Sozial: Solidarität;SDG 5;Haupt: Übung;Schluss: Spielform;/pdf/ex_023.pdf
024;Video;I'm the Doctor, I'm worse than everyone's aunt. *catches himself* And that is not how I'm introducing myself. You've swallowed a planet! Annihilate? No. No violence. I won't stand for it. Not now, not ever, do you understand me?! I'm the Doctor, the Oncoming Storm - and you basically meant beat them in a football match, didn't you?;/images/ex_024.jpg;18-20;Feld: Ganzer Platz ;Dreieck;Schluss: Übung;6-8;Schießen;Gruppentaktik im Angriff: Ballzirkulation;Koordination;Sozial: Respekt / Toleranz;SDG 5;Haupt: Spielform;Datensatz X;/pdf/ex_024.pdf
025;Version;"You know how I sometimes have really brilliant ideas? *Insistently* Bow ties are cool! Come on Amy, I'm a normal bloke, tell me what normal blokes do! You hate me; you want to kill me! Well, go on! Kill me! KILL ME!";/images/ex_025.jpg;18-20;Feld: Viertel Platz ;Viereck;Aufwärm: speziell;11;Schießen;Individualtaktik in der Verteidigung: 1 vs. 1;Kraft;Sozial: Respekt / Toleranz;SDG 4;Aufwärm: allgemein;Haupt: Übung;/pdf/ex_025.pdf
026;Formulierung;I'm the Doctor. Well, they call me the Doctor. I don't know why. I call me the Doctor too. I still don't know why. You hit me with a cricket bat. You hit me with a cricket bat. No, I'll fix it. I'm good at fixing rot. Call me the Rotmeister. No, I'm the Doctor. Don't call me the Rotmeister.;/images/ex_026.jpg;5-10;Feld: Halber Platz;Parcours;Haupt: Spielform;2-5;Köpfen;Gruppentaktik in der Verteidigung: Tore verhindern;Kraft;Sozial: Konfliktfähigkeit;SDG 11;Aufwärm: allgemein;Haupt: Spielform;/pdf/ex_026.pdf
027;Prinzessin;"No… It's a thing; it's like a plan, but with more greatness. You've swallowed a planet! You know when grown-ups tell you 'everything's going to be fine' and you think they're probably lying to make you feel better?";/images/ex_027.jpg;18-20;Halle: Halber Platz;Viereck;Schluss: Übung;4-5;Schießen;Mannschaftstaktik in der Verteidigung: Kompakt verteidigen;Koordination;Persönlich: Selbstbewusstsein;SDG 16;Haupt: Spielform;Schluss: Spielform;/pdf/ex_027.pdf
028;Glasbläser ;"Heh-haa! Super squeaky bum time! No… It's a thing; it's like a plan, but with more greatness. Annihilate? No. No violence. I won't stand for it. Not now, not ever, do you understand me?! I'm the Doctor, the Oncoming Storm - and you basically meant beat them in a football match, didn't you?";/images/ex_028.jpg;5-10;Halle: Halber Platz;Viereck;Schluss: Spielform;6-8;Fintieren;Mannschaftstaktik in der Verteidigung: Umschalten;Kraft;Persönlich: Coping;SDG 4;Aufwärm: allgemein;Datensatz X;/pdf/ex_028.pdf
029;Person;"The way I see it, every life is a pile of good things and bad things.…hey.…the good things don't always soften the bad things; but vice-versa the bad things don't necessarily spoil the good things and make them unimportant. They're not aliens, they're Earth…liens!";/images/ex_029.jpg;3-5;Feld: Halber Platz;Viereck;Schluss: Übung;5-11;Passen;Mannschaftstaktik im Angriff: Torchancen herausspielen;Schnelligkeit;Persönlich: Kreativität;SDG 5;Haupt: Übung;Aufwärm: allgemein;/pdf/ex_029.pdf
030;Lastkraftwagen;"I'm the Doctor, I'm worse than everyone's aunt. *catches himself* And that is not how I'm introducing myself. I hate yogurt. It's just stuff with bits in. The way I see it, every life is a pile of good things and bad things.…hey.…the good things don't always soften the bad things; but vice-versa the bad things don't necessarily spoil the good things and make them unimportant.";/images/ex_030.jpg;18-22;Feld: Viertel Platz ;Dreieck;Haupt: Übung;2-5;Passen;Gruppentaktik in der Verteidigung: Ball erobern;Kraft;Persönlich: Anpassungsfähigkeit;SDG 3;Haupt: Spielform;Aufwärm: speziell;/pdf/ex_030.pdf
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;